#t_s,Fd_N
1.187000,0.164958
1.188000,0.154578
1.189000,0.140653
1.190000,0.123632
1.191000,0.104119
1.192000,0.082833
1.193000,0.060574
1.194000,0.038175
1.195000,0.016459
1.196000,-0.003810
1.197000,-0.021961
1.198000,-0.037455
1.199000,-0.049911
1.200000,-0.059120
1.201000,-0.065052
1.202000,-0.067853
1.203000,-0.067827
1.204000,-0.065414
1.205000,-0.061156
1.206000,-0.055661
1.207000,-0.049564
1.208000,-0.043479
1.209000,-0.037969
1.210000,-0.033502
1.211000,-0.030426
1.212000,-0.028950
1.213000,-0.029126
1.214000,-0.030854
1.215000,-0.033884
1.216000,-0.037838
1.217000,-0.042230
1.218000,-0.046500
1.219000,-0.050052
1.220000,-0.052286
1.221000,-0.052643
1.222000,-0.050635
1.223000,-0.045879
1.224000,-0.038121
1.225000,-0.027253
1.226000,-0.013324
1.227000,0.003462
1.228000,0.022755
1.229000,0.044071
1.230000,0.066822
1.231000,0.090338
1.232000,0.113902
1.233000,0.136781
1.234000,0.158266
1.235000,0.177693
1.236000,0.194478
1.237000,0.208138
1.238000,0.218304
1.239000,0.224736
1.240000,0.227323
1.241000,0.226080
1.242000,0.221143
1.243000,0.212753
1.244000,0.201241
1.245000,0.187010
1.246000,0.170515
1.247000,0.152243
1.248000,0.132699
1.249000,0.112386
1.250000,0.091797
1.251000,0.071402
1.252000,0.051643
1.253000,0.032929
1.254000,0.015633
1.255000,0.000094
1.256000,-0.013388
1.257000,-0.024552
1.258000,-0.033173
1.259000,-0.039074
1.260000,-0.042124
1.261000,-0.042248
1.262000,-0.039432
1.263000,-0.033735
1.264000,-0.025297
1.265000,-0.014342
1.266000,-0.001183
1.267000,0.013772
1.268000,0.030033
1.269000,0.047031
1.270000,0.064137
1.271000,0.080682
1.272000,0.095989
1.273000,0.109399
1.274000,0.120314
1.275000,0.128229
1.276000,0.132772
1.277000,0.133739
1.278000,0.131123
1.279000,0.125134
1.280000,0.116212
1.281000,0.105027
1.282000,0.092466
1.283000,0.079608
1.284000,0.067683
1.285000,0.058018
1.286000,0.051981
1.287000,0.050905
1.288000,0.056015
1.289000,0.068355
1.290000,0.088710
1.291000,0.117548
1.292000,0.154961
1.293000,0.200630
1.294000,0.253806
1.295000,0.313309
1.296000,0.377554
1.297000,0.444592
1.298000,0.512184
1.299000,0.577878
1.300000,0.639116
1.301000,0.693346
1.302000,0.738138
1.303000,0.771304
1.304000,0.791011
1.305000,0.795883
1.306000,0.785085
1.307000,0.758383
1.308000,0.716185
1.309000,0.659540
1.310000,0.590125
1.311000,0.510181
1.312000,0.422443
1.313000,0.330022
1.314000,0.236288
1.315000,0.144721
1.316000,0.058765
1.317000,-0.018325
1.318000,-0.083625
1.319000,-0.134677
1.320000,-0.169598
1.321000,-0.187165
