#t_s,e_des_um
1.264000,2.718342
1.265000,2.693984
1.266000,2.669626
1.267000,2.645268
1.268000,2.620910
1.269000,2.596552
1.270000,2.571781
1.271000,2.544823
1.272000,2.517866
1.273000,2.490909
1.274000,2.463951
1.275000,2.436994
1.276000,2.410036
1.277000,2.383079
1.278000,2.438486
1.279000,2.548760
1.280000,2.659035
1.281000,2.769310
1.282000,2.879585
1.283000,2.989859
1.284000,3.100134
1.285000,3.205949
1.286000,3.208873
1.287000,3.211505
1.288000,3.213846
1.289000,3.215895
1.290000,3.217652
1.291000,3.219119
1.292000,3.220294
1.293000,3.324218
1.294000,3.538135
1.295000,3.751761
1.296000,3.965095
1.297000,4.178139
1.298000,4.390891
1.299000,4.603353
1.300000,4.815524
1.301000,5.154809
1.302000,5.504216
1.303000,5.853332
1.304000,6.202159
1.305000,6.550695
1.306000,6.898940
1.307000,7.246896
1.308000,7.753174
1.309000,8.534076
1.310000,9.314688
1.311000,10.095011
1.312000,10.875045
1.313000,11.654789
1.314000,12.434245
1.315000,13.213413
1.316000,13.458781
1.317000,13.576503
1.318000,13.693937
1.319000,13.811083
1.320000,13.927942
1.321000,14.044514
1.322000,14.160798
1.323000,14.187696
1.324000,13.945156
1.325000,13.702330
1.326000,13.459218
1.327000,13.215820
1.328000,12.972137
