# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_default
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=896436268.5
# n=3
# n_steps_done=62853
# note=
# r_actual=1
# r_design=1
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.39,0,0,-0.174,-0.173999,1.37878,-0.186759,-0.043576,-0.143183,-7.11045e-06,-0.034563,-0.0068939,0.00284418,3.22263e-07,-0.0040494,0.00280997,-4.44658e-09,9.73319e-10,9.0002e-10,0.00040494,0
0.395,0,0,-0.174,-0.173999,1.29981,-0.110685,-0.043576,-0.067109,-3.14519e-05,-0.085486,-0.00649906,0.0125808,2.78907e-05,0.00610958,-0.00423959,6.34881e-09,-1.38982e-09,-1.28508e-09,-0.000610958,-6.783e-19
0.4,0,0,-0.174,-0.173999,1.08021,-0.165939,-0.043576,-0.122363,-6.21049e-05,-0.127418,-0.00540104,0.0248419,0.000214732,0.0196556,-0.0136396,1.732e-08,-3.79184e-09,-3.5059e-09,-0.00196556,-2.18221e-18
0.405,0,0,-0.174,-0.173999,0.724922,-0.673169,-0.043576,-0.629593,-8.03023e-05,-0.131634,-0.00362461,0.0321209,0.000464199,0.0289605,-0.0200965,1.81424e-08,-3.97217e-09,-3.67245e-09,-0.00289605,0
0.41,0,0,-0.174,-0.174,0.323788,-1.24908,-0.043576,-1.2055,-7.57017e-05,-0.102773,-0.00161894,0.0302807,0.000388898,0.0290506,-0.0201591,9.81199e-09,-2.14844e-09,-1.98623e-09,-0.00290506,3.22527e-18
0.415,0,0,-0.174,-0.174,-0.0167293,-1.83619,-0.043576,-1.79261,-5.46376e-05,-0.063248,8.36463e-05,0.021855,0.000146216,0.0220849,-0.0153254,2.00612e-09,-4.3929e-10,-4.06105e-10,-0.00220849,0
0.42,0,0,-0.174,-0.174,-0.237089,-1.94408,-0.043576,-1.9005,-2.76423e-05,-0.0219,0.00118544,0.0110569,1.89341e-05,0.0122613,-0.00850852,-8.73631e-10,1.91316e-10,1.76856e-10,-0.00122613,0
0.425,0,0,-0.174,-0.174,-0.316426,-1.90092,-0.043576,-1.85734,2.66875e-06,0.027887,0.00158213,-0.0010675,-1.70391e-08,0.00051461,-0.000357105,-6.86077e-11,1.50252e-11,1.38891e-11,-5.1461e-05,0
0.43,0,0,-0.174,-0.174,-0.234727,-1.72385,-0.043576,-1.68027,3.76079e-05,0.085046,0.00117364,-0.0150432,-4.76823e-05,-0.0139172,0.00965763,1.1306e-09,-2.47617e-10,-2.28885e-10,0.00139172,0
0.435,0,0,-0.174,-0.174,0.0246078,-1.54678,-0.043576,-1.5032,7.21531e-05,0.132344,-0.000123039,-0.0288613,-0.000336733,-0.029321,0.0203469,-2.84366e-09,6.22837e-10,5.75697e-10,0.0029321,0
